name;price;stock;category_id;
Smartphone Samsung Galaxy S23;899.99;20;1;
Apple iPhone 14 Pro;1249.0;49;1;
Xiaomi Redmi Note 12;229.99;63;1;
Ténis Adidas Ultraboost;139.99;38;2;
Pijama Oysho Algodão;29.99;80;2;
Dispensador de Sabão Automático Xiaomi;19.99;40;3;
Ténis Trail Running Salomon Speedcross;139.99;52;5;
Coluna Bluetooth JBL Flip 6;129.99;88;1;
Conjunto de Toalhas IKEA (4 peças);19.99;31;3;
José Rodrigues dos Santos - O Codex 632;16.6;24;6;
Gel de Banho Dove Deeply Nourishing 750ml;4.99;40;4;
Adubo Universal Fertiberia 5kg;12.99;64;8;
Corda de Saltar Profissional Domyos;9.99;59;5;
Champô hipoalergénico para pêlo sensível;9.40;12;10;
George Orwell - 1984;10.99;41;6;
Fita LED Philips Hue Lightstrip;79.99;17;3;
Bola de Pilates Domyos 65cm;14.99;3;5;
Carros Pixar - Pack 5 Miniaturas;19.99;67;7;
Ração seca premium para cão adulto 10kg;29.90;18;10;
Router Wi-Fi 6 TP-Link AX55;89.99;18;1;
"Tablet Apple iPad 10.2"" (9ª geração)";429.0;4;1;
Disco Externo Seagate 2TB;79.99;16;1;
Rato Gaming Razer DeathAdder V2;59.99;92;1;
Micro-ondas Samsung com Grill;119.0;60;3;
Rastelo Metálico com Cabo;13.5;100;8;
Substrato Universal COMPO SANA 50L;9.99;1;8;
Arrumador de encosto de banco com bolsos;17.50;67;9;
Fernando Pessoa - Livro do Desassossego;13.75;0;6;
Gel de Limpeza Vichy Normaderm 400ml;14.5;10;4;
Areia aglomerante perfumada para gato 10L;8.75;61;10;
Ambientador automóvel com clip de ventilação;6.50;6;9;
Tablet Samsung Galaxy Tab S8;749.99;17;1;
Hub USB-C Anker 7-em-1;49.99;77;1;
Auriculares Bose QuietComfort Earbuds II;319.0;1;1;
Drone DJI Mini 3 Pro;829.0;33;1;
Mochila Adidas Performance 25L;39.99;2;5;
Jogo Educativo Science4you - Robô;17.99;82;7;
Chave de rodas cruzada reforçada;21.30;92;9;
Pente Alisador Rowenta Express Style;59.99;89;4;
Câmara de Ação Insta360 GO 3;429.0;54;1;
Macacão Stradivarius Estampado;39.99;78;2;
Playmobil Polícia - Base Móvel;39.99;70;7;
Escova Elétrica Oral-B Pro 3;39.99;86;4;
Relógio de Parede IKEA STURSK;15.0;48;3;
Calças Levi’s 501 Original;89.99;30;2;
Nerf Elite Disruptor;18.99;96;7;
Máquina Fotográfica Canon EOS 250D;629.99;19;1;
"Televisão LG OLED 55"" 4K";1099.0;80;1;
Portátil Apple MacBook Air M2;1249.0;7;1;
Creme Hidratante CeraVe 340g;15.99;49;4;
Rato Logitech MX Master 3S;109.99;3;1;
Teclado Mecânico Logitech G Pro;139.99;44;1;
Regador de Plástico 10L;8.99;96;8;
Pulverizador Manual 5L Gardena;24.99;50;8;
Jogo de Memória Ravensburger;11.99;11;7;
Tapete Antiderrapante para Cozinha;24.99;8;3;
Cobertura para para-brisas anti-geada;14.90;6;9;
Creme de Rosto Olay Regenerist;29.99;76;4;
Máquina de Lavar Loiça Bosch;549.0;51;3;
Gabriel García Márquez - Cem Anos de Solidão;14.5;88;6;
Creme de Mãos Neutrogena Concentrado 50ml;6.99;32;4;
Casaco Columbia Impermeável;149.0;25;2;
Smartphone Google Pixel 7a;509.0;69;1;
Cinto de Corrida Kalenji com Bidões;16.99;73;5;
Tesoura de Poda Fiskars P26;21.99;87;8;
Hot Wheels - Mega Pista Looping;29.99;69;7;
Jogo de Construção Mega Bloks;25.99;18;7;
Cabo USB-C Belkin 100W;24.99;47;1;
Ferro de Engomar Philips Azur;59.99;11;3;
Blusa Bershka com Renda;25.99;55;2;
Base de Maquilhagem Maybelline Fit Me Matte;8.99;3;4;
Banda Elástica de Resistência Média;8.99;16;5;
Óleo Corporal Johnson’s Baby 300ml;3.49;34;4;
Camões - Os Lusíadas;9.5;1;6;
Champô Sólido Garnier Ultra Suave;5.5;7;4;
Acessório de Limpeza Facial Beurer FC45;34.99;73;4;
Impressora HP DeskJet 2720e;54.99;38;1;
Triângulo de sinalização homologado;7.80;88;9;
Fato de Banho Speedo Fit Laneback;34.99;87;5;
Paleta de Sombras NYX Ultimate;17.99;3;4;
Conjunto de Panelas WMF (5 peças);229.0;86;3;
Desumidificador Rowenta Intense Dry;179.0;36;3;
Casaco North Face Thermoball;179.0;1;2;
Carrinho Telecomandado Chicco;34.9;1;7;
Esfoliante Corporal Rituals The Ritual of Sakura;18.5;0;4;
Forno Elétrico Bosch Série 4;399.99;14;3;
Lixeira Automática Touch Bin;59.9;51;3;
Tolstói - Guerra e Paz;18.99;38;6;
Peluche Interativo FurReal Friends;59.99;18;7;
SSD Samsung 980 Pro 1TB;119.99;40;1;
Powerbank Anker 20000mAh;69.99;49;1;
Perfume Dior Sauvage Eau de Toilette 100ml;109.0;74;4;
Bicicleta Infantil 14'';129.0;67;7;
Casaco Massimo Dutti Cabedal;199.99;97;2;
Tapete de Yoga Reebok 6mm;29.99;89;5;
Relógio Digital de Cozinha TFA;14.99;9;3;
Lego Technic - Carro de Corrida;79.99;15;7;
Camisola de Compressão Under Armour;49.99;37;5;
Camisola Térmica Quechua Trekking;24.99;82;5;
Bicicleta de Spinning Domyos;499.0;11;5;
Lima Elétrica para Pés Scholl Velvet Smooth;39.99;0;4;
Kit de Depilação Veet com Cera;17.99;28;4;
Casaco de Inverno Zara Homem;79.99;32;2;
Sementes de Tomate Biológico;3.49;39;8;
Creme Antirrugas Nivea Q10 Power 50ml;14.99;72;4;
Placa Gráfica NVIDIA RTX 3060;379.99;71;1;
Espelho de Maquilhagem com Luz LED;24.99;19;4;
Máscara Facial L'Oréal Argila Pura;9.99;6;4;
Soprador de Folhas Elétrico Black+Decker;69.99;60;8;
Jogo Pictionary Air;24.99;97;7;
Arranhador para gato com plataformas;34.50;58;10;
Kit de substituição de escovas limpa para-brisas;22.00;40;9;
Aparador de Relva Bosch ART 24;64.99;66;8;
Máquina de Barbear Philips OneBlade;34.99;51;4;
Enxada Metálica com Cabo de Madeira;18.9;6;8;
Step de Ginásio Reebok;69.99;19;5;
Sacho Duplo em Aço Inoxidável;11.5;43;8;
Carregador MagSafe Apple;45.0;85;1;
Teclado Apple Magic Keyboard;115.0;1;1;
Protetor Solar La Roche-Posay Anthelios SPF50+;19.99;46;4;
Conjunto de Banho Body Shop;29.99;14;4;
Suplemento Proteína Whey Prozis 1kg;29.99;40;5;
Jogo de Tabuleiro Monopoly Clássico;39.99;9;7;
"Monitor LG UltraGear 27"" 144Hz";289.0;26;1;
Coleira ajustável com identificação para cão;6.20;64;10;
Frigideira Tefal 28cm Antiaderente;29.99;38;3;
Escova Facial Elétrica NIVEA;39.9;44;4;
J.K. Rowling - Harry Potter e a Pedra Filosofal;12.99;43;6;
Disco SSD Externo SanDisk 1TB;139.99;32;1;
Ténis Vans Old Skool;74.99;81;2;
Botas Dr. Martens 1460;189.0;25;2;
Saramago - Ensaio sobre a Cegueira;14.9;1;6;
Bálsamo Labial Carmex Classic;3.49;15;4;
Máscara de Pestanas L'Oréal Lash Paradise;12.49;64;4;
Agatha Christie - Crime no Expresso do Oriente;8.9;38;6;
Robot de Cozinha Moulinex Companion;499.0;98;3;
Sweatshirt Nike Sportswear;64.99;42;2;
Tábua de Engomar Brabantia;89.99;45;3;
Escova de Cabelo Tangle Teezer Original;12.99;99;4;
Máquina de Café Delta Q Qool Evolution;79.9;42;3;
Creme de Barbear Proraso Eucalipto;4.99;6;4;
Lenço Massimo Dutti Seda;39.99;22;2;
Extintor automóvel 1kg com suporte;18.75;85;9;
Rolo de Cozinha em Bambu;7.99;82;3;
Albert Camus - O Estrangeiro;10.5;7;6;
Asus ROG Strix Gaming Laptop;1599.0;26;1;
Bicicleta Elíptica Domyos EL 520;299.0;46;5;
Boneca Barbie Fashionista;19.99;69;7;
Candeeiro de Mesa IKEA RANARP;39.99;94;3;
Carteira em Pele Guess;69.99;75;2;
Mala de Mão Parfois;34.99;94;2;
Sérum Facial The Ordinary Niacinamide 10% + Zinc 1%;7.9;88;4;
Tapete universal para porta-bagagens;24.90;24;9;
Kit de reparação rápida para pneus;12.90;46;9;
Haruki Murakami - Kafka à Beira-Mar;15.2;74;6;
Caixa Hermética Pyrex 1L;9.99;32;3;
Suporte de Facas com Íman IKEA;12.99;39;3;
Khaled Hosseini - O Menino de Cabul;13.99;5;6;
Bola de Futebol Adidas Euro 2024;24.99;20;5;
Escorredor de Loiça Inox;22.99;63;3;
Coluna Marshall Emberton;159.0;49;1;
Cinto em Pele Mango;19.99;7;2;
Creme Anticelulite Elancyl Slim Design;32.99;11;4;
Antoine de Saint-Exupéry - O Principezinho;7.99;25;6;
Lixa de Unhas Elétrica Revlon;19.99;59;4;
Comedouro duplo em inox antideslizante;12.90;23;10;
Coluna Inteligente Google Nest Audio;99.99;1;1;
Luvas de Jardinagem Bricoflor;5.99;42;8;
Óculos de Sol Ray-Ban Aviator;129.99;86;2;
Rato Apple Magic Mouse;85.0;18;1;
Portátil Lenovo IdeaPad 3;649.99;29;1;
Conjunto de fusíveis variados para viatura;9.60;74;9;
Halteres Hexagonais 10kg (par);54.99;0;5;
Auriculares Samsung Galaxy Buds2 Pro;239.0;81;1;
Trator de Brincar Bruder;34.99;64;7;
Colete com Peso 10kg Domyos;59.99;79;5;
Ténis de Corrida Nike Air Zoom Pegasus 39;129.99;56;5;
Jane Austen - Orgulho e Preconceito;9.99;85;6;
Champô L’Oréal Elvive Dream Long 400ml;5.99;41;4;
Câmara de Vigilância Xiaomi Mi 360;39.99;10;1;
Auriculares Apple AirPods Pro (2ª Geração);299.0;64;1;
Lego City - Estação de Bombeiros;49.99;90;7;
Super Mario - Boneco Interativo;29.99;26;7;
"Televisão Samsung QLED 50""";799.0;99;1;
Gimbal DJI OM 5;169.0;50;1;
Torradeira Russell Hobbs 2 fatias;44.99;88;3;
Smartwatch Samsung Galaxy Watch5;299.99;16;1;
Soundbar LG SP2;149.0;4;1;
Corta-relva Elétrico Einhell 1200W;109.99;47;8;
Secador de Cabelo Rowenta Premium Care;49.99;58;4;
Vaso em Cerâmica 40cm;14.99;26;8;
Eça de Queirós - Os Maias;11.2;34;6;
Ténis Converse Chuck Taylor;74.99;2;2;
Jeans Pull&Bear Skinny;29.99;84;2;
Desmaquilhante Bifásico Garnier 400ml;6.99;56;4;
Espremedor de Citrinos Braun;34.9;14;3;
Camisola Lacoste Polo;79.0;75;2;
Casaco Pull&Bear Oversized;49.99;87;2;
Mini Projetor Philips NeoPix;239.0;87;1;
Webcam Logitech C920 HD Pro;89.99;58;1;
Calções de Ganga Salsa;34.99;5;2;
Boneca LOL Surprise OMG;39.99;50;7;
Conjunto de Pincéis Real Techniques;22.99;48;4;
Almofada de Cadeira com Laços;12.99;75;3;
Smartphone OnePlus 11 5G;829.0;91;1;
Jarro Elétrico Russell Hobbs 1.7L;39.99;74;3;
Camisola Tommy Hilfiger;99.9;81;2;
Soutien Desportivo Nike Swoosh;34.99;45;5;
Cadeira de Cozinha Dobrável;29.99;9;3;
Desodorizante Nivea Men Black & White;3.99;35;4;
Rolo de Espuma para Massagem;19.99;71;5;
Jogo Twister;22.99;63;7;
Líquido limpa pára-brisas concentrado 5L;8.90;28;9;
Relógio Casio Vintage Dourado;49.99;10;2;
Estufa de Jardim com Estrutura Metálica;79.9;99;8;
Batedeira Elétrica Bosch ErgoMixx;69.9;78;3;
Leitor Kindle Paperwhite;149.99;18;1;
Luvas de Treino Domyos Musculação;12.99;66;5;
Câmara GoPro Hero 11 Black;499.99;53;1;
Play-Doh - Conjunto de Modelagem;14.99;88;7;
Smartwatch Apple Watch Series 8;499.99;78;1;
Conjunto de Ferramentas de Jardinagem (5 peças);29.99;2;8;
Cafeteira Italiana Bialetti Moka;34.99;15;3;
Jogo de Cartas UNO;7.99;82;7;
Tapete de Corrida NordicTrack T6.5S;899.0;44;5;
"Monitor Samsung 24"" Full HD";129.0;57;1;
Sapatos Clarks de Camurça;109.0;42;2;
Relógio Garmin Forerunner 255;349.0;50;5;
Conjunto de Frascos para Especiarias;16.99;43;3;
Carregador Rápido Baseus 65W;39.99;78;1;
Manga de Rega Extensível 30m;34.99;36;8;
Faqueiro Villeroy & Boch 24 peças;129.0;80;3;
"Monitor AOC 27"" Curvo";229.0;35;1;
Casaco Trench Coat Stradivarius;69.99;27;2;
Auriculares Bluetooth Sony WH-1000XM5;379.0;24;1;
T-shirt básica H&M Algodão;9.99;15;2;
Kit de Irrigação Automática Gardena;89.0;32;8;
Garrafa de Água Isotérmica 750ml;19.99;32;5;
Blazer H&M Slim Fit;59.99;58;2;
Batom MAC Matte Ruby Woo;23.0;32;4;
Tónico Facial Garnier Pure Active;6.49;27;4;
Puzzle Clementoni 1000 peças;12.99;94;7;
Manta Antiervas Geotêxtil 10m²;19.99;18;8;
Liquidificadora Philips Daily Collection;49.99;3;3;
Carregador de bateria inteligente 12V;49.90;46;9;
Conjunto de Copos Luminarc (12 unid.);18.99;56;3;
Calções de Corrida Kalenji Dry+;14.99;92;5;
Vestido Mango Floral;59.99;58;2;
Frigorífico Combinado LG Total No Frost;899.0;100;3;
Brinquedo em corda para roer;4.80;60;10;
Chapéu Zara Lã;24.99;100;2;
Aspirador Vertical Dyson V15 Detect;749.0;0;3;
Túnel de Cultivo com Cobertura Plástica;59.99;62;8;
